"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGLDCCBRSgAwIBAgIQDt+oMWkiBsIkFIouqmFdyjANBgkqhkiG9w0BAQsFADA8MQswCQYDVQQGEwJVUzEPMA0GA1UEChMGQW1hem9uMRwwGgYDVQQDExNBbWF6b24gUlNBIDIwNDggTTAyMB4XDTI0MDYwNjAwMDAwMFoXDTI1MDcwNTIzNTk1OVowHjEcMBoGA1UEAxMTbnR1bGVhcm4ubnR1LmVkdS5zZzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANz03pUzucnIxpV9McUXHWaUxzK2yq6feeKYXC8XXGIO20UT0Ytknh2ksM16QU61RBpkiyL906d8USxFOllH0XuIaHbhevMNEiFKZ8hz9OcZL9gZNTi/ZFsE6CI2RQXyjNpnCwKrmNjfGLrgBG80SNu1mBCOXVqxg02HUZioDL/oDtQ1xq97yh7rB8ohnmclXveggep0lcheUcCF08RI8Hfbxwa6HfaFOHDYqSM4UrecIqg/CnHhUZu5CZxCKK56PbXWWwdC9h+1moGam9qo9Ogl69RVpTJ2k71VvobWvMMS/TsJUqp5CVZwo/koONrRKKPgfhHXhigFfOaIn7gyTOECAwEAAaOCA0YwggNCMB8GA1UdIwQYMBaAFMAxUs1aUMOCfHRxzsvpnPl664LiMB0GA1UdDgQWBBQn+j+Lx8OAgJFLO9l92cGeEMrkADB4BgNVHREEcTBvghNudHVsZWFybi5udHUuZWR1LnNnghAqLmJsYWNrYm9hcmQuY29tghZudHVsZWFybnRzdC5udHUuZWR1LnNnghZudHVsZWFybnN0Zy5udHUuZWR1LnNnghZudHVsZWFybm1pZy5udHUuZWR1LnNnMBMGA1UdIAQMMAowCAYGZ4EMAQIBMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwOwYDVR0fBDQwMjAwoC6gLIYqaHR0cDovL2NybC5yMm0wMi5hbWF6b250cnVzdC5jb20vcjJtMDIuY3JsMHUGCCsGAQUFBwEBBGkwZzAtBggrBgEFBQcwAYYhaHR0cDovL29jc3AucjJtMDIuYW1hem9udHJ1c3QuY29tMDYGCCsGAQUFBzAChipodHRwOi8vY3J0LnIybTAyLmFtYXpvbnRydXN0LmNvbS9yMm0wMi5jZXIwDAYDVR0TAQH/BAIwADCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHYAEvFONL1TckyEBhnDjz96E/jntWKHiJxtMAWE6+WGJjoAAAGP6vgBZgAABAMARzBFAiEAoGW19yPVwRG3waXeFnCF6VFmPEasehztLhtX2PrHt6kCIDpvG2xNiWpMW0jfNY08auyxLxjWihMpYFqRDxVat5urAHYAfVkeEuF4KnscYWd8Xv340IdcFKBOlZ65Ay/ZDowuebgAAAGP6vgAwgAABAMARzBFAiEAqrCWhkQ99IJA78aIYjnsImEo//Y4dId2xMSp2KpcXKcCIC9D4q8USKuQ4Fu3ALgXgwEOaFviG/R+8pnoC8oscxBiAHYA5tIxY0B3jMEQQQbXcbnOwdJA9paEhvu6hzId/R43jlAAAAGP6vgA2AAABAMARzBFAiBNYH8SM8aCw1iIj1uBUK6yt8TjNsYgwU0tdu071jDE1QIhAOyEhJ0q/eHMOOyg4VTKHe29fWIWbhAexIAtryYYqULQMA0GCSqGSIb3DQEBCwUAA4IBAQB2bmsr9/HpRZQG/mN6gsyzIHmn3RlbkkKkhT45v+hRiY+QyxTTt7zKUoEK+K7NpaTgUUv3Qp6z7LFCKu+0Keb1sGKoIIUm+qkcFhOdXUy5AmQ4XH1jmzmjyVu5erbEUwGYrb6da0xWsib4PEiRIGZRey3tqwCwpaDNYeT0KhdzQ/6BSqUm8JNL7z/AF6FBRW/l+hBdUq4GKjpaP7v6fE9mGpCb2VeeaQS5VrxZ4hPY+wtkOpOXxajWnC3UEfgEC94eHbCq4+VJEmKf7QyzZACGn6vsz5fByc2dHStdaldPHY2l0vmYazukKpCcjoTwcDUQpUSNd8dXL4yv+4t5iV/Y\n-----END CERTIFICATE-----","",""
"cert_commonName","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","ntulearn.ntu.edu.sg","",""
"cert_commonName_wo_SNI","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","ntulearn.ntu.edu.sg","",""
"cert_subjectAltName","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","ntulearn.ntu.edu.sg *.blackboard.com ntulearntst.ntu.edu.sg ntulearnstg.ntu.edu.sg ntulearnmig.ntu.edu.sg","",""
"cert_trust","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","passed.","",""
"cert_certificatePolicies_EV","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","no","",""
"cert_expirationStatus","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","275 >= 60 days","",""
"cert_notBefore","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","2024-06-06 00:00","",""
"cert_notAfter","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","2025-07-05 23:59","",""
"cert_extlifeSpan","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","not present","",""
"cert_crlDistributionPoints","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","http://crl.r2m02.amazontrust.com/r2m02.crl","",""
"cert_ocspURL","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","http://ocsp.r2m02.amazontrust.com","",""
"OCSP_stapling","ntulearn.ntu.edu.sg/18.139.25.67","443","LOW","not offered","",""
"cert_mustStapleExtension","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","--","",""
"DNS_CAArecord","ntulearn.ntu.edu.sg/18.139.25.67","443","LOW","--","",""
"certificate_transparency","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","yes (certificate extension)","",""
"certs_countServer","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","4","",""
"certs_list_ordering_problem","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","no","",""
"cert_caIssuers","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","Amazon RSA 2048 M02 (Amazon from US)","",""
"intermediate_cert <#1>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEXjCCA0agAwIBAgITB3MSSkvL1E7HtTvq8ZSELToPoTANBgkqhkiG9w0BAQsFADA5MQswCQYDVQQGEwJVUzEPMA0GA1UEChMGQW1hem9uMRkwFwYDVQQDExBBbWF6b24gUm9vdCBDQSAxMB4XDTIyMDgyMzIyMjUzMFoXDTMwMDgyMzIyMjUzMFowPDELMAkGA1UEBhMCVVMxDzANBgNVBAoTBkFtYXpvbjEcMBoGA1UEAxMTQW1hem9uIFJTQSAyMDQ4IE0wMjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALtDGMZaqHneKei1by6+pUPPLljTB143Si6VpEWPc6mSkFhZb/6qrkZyoHlQLbDYnI2D7hD0sdzEqfnuAjIsuXQLG3A8TvX6V3oFNBFVe8NlLJHvBseKY88saLwufxkZVwk74g4nWlNMXzla9Y5F3wwRHwMVH443xGz6UtGSZSqQ94eFx5X7Tlqt8whi8qCaKdZ5rNak+r9nUThOeClqFd4oXych//Rc7Y0eX1KNWHYSI1Nk31mYgiK3JvH063g+K9tHA63ZeTgKgndlh+WI+zv7i44HepRZjA1FYwYZ9Vv/9UkC5Yz8/yU65fgjaE+wVHM4e/YyC2osrPWE7gJ+dXMCAwEAAaOCAVowggFWMBIGA1UdEwEB/wQIMAYBAf8CAQAwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAdBgNVHQ4EFgQUwDFSzVpQw4J8dHHOy+mc+XrrguIwHwYDVR0jBBgwFoAUhBjMhTTsvAyUlC4IWZzHshBOCggwewYIKwYBBQUHAQEEbzBtMC8GCCsGAQUFBzABhiNodHRwOi8vb2NzcC5yb290Y2ExLmFtYXpvbnRydXN0LmNvbTA6BggrBgEFBQcwAoYuaHR0cDovL2NydC5yb290Y2ExLmFtYXpvbnRydXN0LmNvbS9yb290Y2ExLmNlcjA/BgNVHR8EODA2MDSgMqAwhi5odHRwOi8vY3JsLnJvb3RjYTEuYW1hem9udHJ1c3QuY29tL3Jvb3RjYTEuY3JsMBMGA1UdIAQMMAowCAYGZ4EMAQIBMA0GCSqGSIb3DQEBCwUAA4IBAQAtTi6Fs0Azfi+iwm7jrz+CSxHH+uHl7Law3MQSXVtR8RV53PtR6r/6gNpqlzdoZq4FKbADi1v9Bun8RY8D51uedRfjsbeodizeBB8nXmeyD33Ep7VATj4ozcd31YFVfgRhvTSxNrrTlNpWkUk0m3BMPv8sg381HhA6uEYokE5q9uws/3YkKqRiEz3TsaWmJqIRZhMbgAfp7O7FUwFIb7UIspogZSKxPIWJpxiPo3TcBambbVtQOcNRWz5qCQdDslI2yayq0n2TXoHyNCLEH8rpsJRVILFsg0jc7BaFrMnF462+ajSehgj12IidNeRN4zl+EoNaWdpnWndvSpAEkq2P\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","B0F330A31A0C50987E1C3A7BB02C2DDA682991D3165B517BD44FBA4A6020BD94","",""
"intermediate_cert_notBefore <#1>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","2022-08-23 22:25","",""
"intermediate_cert_notAfter <#1>","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","2030-08-23 22:25","",""
"intermediate_cert_expiration <#1>","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","Amazon RSA 2048 M02 <-- Amazon Root CA 1","",""
"intermediate_cert <#2>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEkjCCA3qgAwIBAgITBn+USionzfP6wq4rAfkI7rnExjANBgkqhkiG9w0BAQsFADCBmDELMAkGA1UEBhMCVVMxEDAOBgNVBAgTB0FyaXpvbmExEzARBgNVBAcTClNjb3R0c2RhbGUxJTAjBgNVBAoTHFN0YXJmaWVsZCBUZWNobm9sb2dpZXMsIEluYy4xOzA5BgNVBAMTMlN0YXJmaWVsZCBTZXJ2aWNlcyBSb290IENlcnRpZmljYXRlIEF1dGhvcml0eSAtIEcyMB4XDTE1MDUyNTEyMDAwMFoXDTM3MTIzMTAxMDAwMFowOTELMAkGA1UEBhMCVVMxDzANBgNVBAoTBkFtYXpvbjEZMBcGA1UEAxMQQW1hem9uIFJvb3QgQ0EgMTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALJ4gHHKeNXjca9HgFB0fW7Y14h29Jlo91ghYPl0hAEvrAIthtOgQ3pOsqTQNroBvo3bSMgHFzZM9O6II8c+6zf1tRn4SWiw3te5djgdYZ6k/oI2peVKVuRF4fn9tBb6dNqcmzU5L/qwIFAGbHrQgLKm+a/sRxmPUDgH3KKHOVj4utWp+UhnMJbulHheb4mjUcAwhmahRWa6VOujw5H5SNz/0egwLX0tdHA114gk957EWW67c4cX8jJGKLhD+rcdqsq08p8kDi1L93FcXmn/6pUCyziKrlA4b9v7LWIbxcceVOF34GfID5yHI9Y/QCB/IIDEgEw+OyQmjgSubJrIqg0CAwEAAaOCATEwggEtMA8GA1UdEwEB/wQFMAMBAf8wDgYDVR0PAQH/BAQDAgGGMB0GA1UdDgQWBBSEGMyFNOy8DJSULghZnMeyEE4KCDAfBgNVHSMEGDAWgBScXwDfqgHXMCs4iKK4bUqc8hGRgzB4BggrBgEFBQcBAQRsMGowLgYIKwYBBQUHMAGGImh0dHA6Ly9vY3NwLnJvb3RnMi5hbWF6b250cnVzdC5jb20wOAYIKwYBBQUHMAKGLGh0dHA6Ly9jcnQucm9vdGcyLmFtYXpvbnRydXN0LmNvbS9yb290ZzIuY2VyMD0GA1UdHwQ2MDQwMqAwoC6GLGh0dHA6Ly9jcmwucm9vdGcyLmFtYXpvbnRydXN0LmNvbS9yb290ZzIuY3JsMBEGA1UdIAQKMAgwBgYEVR0gADANBgkqhkiG9w0BAQsFAAOCAQEAYjdCXLwQtT6LLOkMm2xF4gcAevnFWAu5CIw+7bMlPLVvUOTNNWqnkzSWMiGpSESrnO09tKpzbeR/FoCJbM8oAxiDR3mjEH4wW6w7sGDgd9QIpuEdfF7Au/maeyKdpwAJfqxGF4PcnCZXmTA5YpaP7dreqsXMGz7KQ2hsVxa81Q4gLv7/wmpdLqBKbRRYh5TmOTFffHPLkIhqhBGWJ6bt2YFGpn6jcgAKUj6DiAdjd4lpFw85hdKrCEVN0FE6/V1dN2RMfjCyVSRCnTawXZwXgWHxyvkQAiSr6w10kY17RSlQOYiypok1JR4UakcjMS9cmvqtmg5iUaQqqcT5NJ0hGA==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","87DCD4DC74640A322CD205552506D1BE64F12596258096544986B4850BC72706","",""
"intermediate_cert_notBefore <#2>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","2015-05-25 12:00","",""
"intermediate_cert_notAfter <#2>","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","2037-12-31 01:00","",""
"intermediate_cert_expiration <#2>","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","Amazon Root CA 1 <-- Starfield Services Root Certificate Authority - G2","",""
"intermediate_cert <#3>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEdTCCA12gAwIBAgIJAKcOSkw0grd/MA0GCSqGSIb3DQEBCwUAMGgxCzAJBgNVBAYTAlVTMSUwIwYDVQQKExxTdGFyZmllbGQgVGVjaG5vbG9naWVzLCBJbmMuMTIwMAYDVQQLEylTdGFyZmllbGQgQ2xhc3MgMiBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTAeFw0wOTA5MDIwMDAwMDBaFw0zNDA2MjgxNzM5MTZaMIGYMQswCQYDVQQGEwJVUzEQMA4GA1UECBMHQXJpem9uYTETMBEGA1UEBxMKU2NvdHRzZGFsZTElMCMGA1UEChMcU3RhcmZpZWxkIFRlY2hub2xvZ2llcywgSW5jLjE7MDkGA1UEAxMyU3RhcmZpZWxkIFNlcnZpY2VzIFJvb3QgQ2VydGlmaWNhdGUgQXV0aG9yaXR5IC0gRzIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDVDDrEKvlO4vW+GZdfjohTsR8/y8+fIBNtKTrID30892t2OGPZNmCom15cAICyL1l/9of5JUOG52kbUpqQ4XHj2C0NTm/2yEnZtvMaVq4rtnQU68/7JuMauh2WLmo7WJSJR1b/JaCTcFOD2oR0FMNnngRoOt+OQFodSk7PQ5E751bWAHDLUu57fa4657wx+UX2wmDPE1kCK4DMNEffud6QZW0CzyyRpqbn3oUYSXxmTqM6bam17jQuug0DuDPfR+uxa40l2ZvOgdFFRjKWcIfeAg5JQ4W2bHO7ZOphQazJ1FTfhy/HIrImzJ9ZVGif/L4qL8RVHHVAYBeFAlU5i38FAgMBAAGjgfAwge0wDwYDVR0TAQH/BAUwAwEB/zAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0OBBYEFJxfAN+qAdcwKziIorhtSpzyEZGDMB8GA1UdIwQYMBaAFL9ft9HO3R+G9FtVrNzXEMIOqYjnME8GCCsGAQUFBwEBBEMwQTAcBggrBgEFBQcwAYYQaHR0cDovL28uc3MyLnVzLzAhBggrBgEFBQcwAoYVaHR0cDovL3guc3MyLnVzL3guY2VyMCYGA1UdHwQfMB0wG6AZoBeGFWh0dHA6Ly9zLnNzMi51cy9yLmNybDARBgNVHSAECjAIMAYGBFUdIAAwDQYJKoZIhvcNAQELBQADggEBACMd44pXyn3pF3lM8R5V/cxTbj5HD9/GVfKyBDbtgB9TxF00KGu+x1X8Z+rLP3+QsjPNG1gQggL4+C/1E2DUBc7xgQjB3ad1l08YuW3e95ORCLp+QCztweq7dp4zBncdDQh/U90bZKuCJ/Fp1U1ervShw3WnWEQt8jxwmKy6abaVd38PMV4s/KCHOkdp8Hlf9BRUpJVeEXgSYCfOn8J3/yNTd126/+pZ59vPr5KW7ySaNRB6nJHGDn2Z9j8Z3/VyVOEVqQdZe4O/Ui5GjLIAZHYcSNPYeehuVsyuLAOQ1xk4meTKCRlb/weWsKh/NEnfVqn3sF/tM+2MR7cwA130A4w=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#3>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","28689B30E4C306AAB53B027B29E36AD6DD1DCF4B953994482CA84BDC1ECAC996","",""
"intermediate_cert_notBefore <#3>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","2009-09-02 00:00","",""
"intermediate_cert_notAfter <#3>","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","2034-06-28 17:39","",""
"intermediate_cert_expiration <#3>","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#3>","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","Starfield Services Root Certificate Authority - G2 <--","",""
"intermediate_cert_badOCSP","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","200  ('/')","",""
"HTTP_clock_skew","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","+1 seconds from localtime","",""
"HTTP_headerTime","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","1727947034","",""
"HSTS_time","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","includes subdomains","",""
"HSTS_preload","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","domain IS marked for preloading","",""
"HPKP","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","No application banner found","",""
"cookie_count","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","4 at '/'","",""
"cookie_secure","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","3/4 at '/' marked as secure","",""
"cookie_httponly","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","3/4 at '/' marked as HttpOnly","",""
"X-Frame-Options","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","nosniff","",""
"Content-Security-Policy","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","frame-ancestors 'self'","",""
"X-XSS-Protection","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","1","",""
"Access-Control-Allow-Origin","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","https://ntulearn.ntu.edu.sg","",""
"Cache-Control_multiple","ntulearn.ntu.edu.sg/18.139.25.67","443","MEDIUM","Multiple Cache-Control headers. Using first header: private","",""
"Cache-Control","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","private","",""
"Pragma","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","private","",""
"banner_reverseproxy","ntulearn.ntu.edu.sg/18.139.25.67","443","INFO","--","","CWE-200"
"heartbleed","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","ntulearn.ntu.edu.sg/18.139.25.67","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
